item_name,item_detail,color,images,release_date,original_price,size,description,ingredients,store_exclusive,limited_edition,discontinued,item_category
Balm Dotcom Scarf,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/balm_scarf_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/balm_scarf_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/balm_scarf_3.jpg~,12/4/2019,15,22 x 22 inches,"Wear your favorite Balm Dotcoms, all at once.
What it is: Show your love for Balm Dotcom with this fun, yet sophisticated, limited-edition scarf. Originally part of our 2019 holiday collection, it’s a silky-satin (but 100% vegan!) fabric that features swatches of everyone’s favorite lip balm. Tie around your hair, your bag strap or anything else for a pop of Glossier flare. Designed with legendary photographer Raymond Meier’s hand-labeled Balm Dotcom swatches, a special and integral part of Glossier’s production process.",Materials: 100% Polyester Satin Chiffon,FALSE,TRUE,FALSE,3
Baseball Cap,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/baseball_4.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/baseball_3.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/baseball_2.jpg~,7/17/2019,25,,What it is: White cotton adjustable cap with a pre-curved visor. Embroidered with the Glossier logo in white.,Materials: 100% cotton.,FALSE,TRUE,TRUE,3
Slide Sandals,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/sandals_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/sandals_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/sandals_3.jpg~,7/17/2019,25,,"What it is: Comfy slip-on slides with molded footbed. 100% PVC pink uppers with signature Glossier logo in red, and contrast white sole. Unisex.",Materials: 100% PVC sole and upper.,FALSE,TRUE,TRUE,3
Long Sleeve Shirt,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/long_sleeve_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/long_sleeve_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/long_sleeve_3.png~,7/17/2019,25,,,,FALSE,TRUE,TRUE,3
Claw Clip,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/claw_clip_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/claw_clip_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/claw_clip_3.jpg~,7/17/2019,10,,,,FALSE,TRUE,TRUE,3
Marble Claw Clip,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/marble_claw_clip_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/marble_claw_clip_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/marble_claw_clip_3.jpg~,7/17/2019,10,,,,FALSE,TRUE,TRUE,3
Marble Comb,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/comb_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/comb_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/comb_1.jpg~,7/17/2019,10,,Ultra-glossy pink marbled resin comb embossed with a white Glossier logo. Wear as an accessory or use as a comb.,,FALSE,TRUE,TRUE,3
Hair Clips,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/hair_clips_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/hair_clips_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/hair_clips_3.jpg~,7/17/2019,12,,,,FALSE,TRUE,TRUE,3
Embroidered Soft Sage Hoodie,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/sage_hoodie_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/sage_hoodie_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/sage_hoodie_3.jpg~,10/13/2021,55,,"Comfort zone.

What it is: Extra-plush and cut for a relaxed, slightly oversized fit, our deep green hoodie keeps things cozy year-round (from summer A.C. to wintertime chill). Details we love: the embroidered Glossier logo on the front, an embroidered smile wave on the back, and a small jacquard G-logo patch on the left arm.",Materials: 70% cotton / 30% polyester fleece,FALSE,TRUE,TRUE,3
Embroidered Lavender Hoodie,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/lavender_hoodie_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/lavender_hoodie_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/lavender_hoodie_3.jpg~,5/3/2022,60,,"Comfy, lavender goodness.
What it is: Extra-plush and cut for a relaxed, slightly oversized fit, our Embroidered Lavender Hoodie keeps things cozy year-round (from summer A.C. to wintertime chill). Pair it with our (new!) Lavender Balm Dotcom for the ultimate in soothing relaxation. Details we love: the embroidered Glossier logo on the front, an embroidered Smile Wave motif on the back, and a small jacquard G-logo patch on the left arm",Materials: 70% cotton / 30% polyester fleece,FALSE,TRUE,TRUE,3
Terrazzo Hoodie,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/terrazzo_hoodie_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/terrazzo_hoodie_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/terrazzo_hoodie_3.jpg~,9/8/2020,45,,"Comfort zone.
What it is: Plush and slightly oversized, our hoodie keeps things cozy year-round (from summer A.C. to wintertime chill) with a super-soft fleecy inside, metal-tipped drawstrings, and a front pocket pouch. Same as our Original Pink hoodie, but in a subtle, speckled pattern, with our signature Glossier logo.",Materials: 70% cotton; 30% polyester fleece.,FALSE,TRUE,TRUE,3
Lavender Socks,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/lavender_socks_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/lavender_socks_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/lavender_socks_3.jpg~,5/3/2022,12,,"Glossier from head to toe.
What it is: To celebrate the release of Lavender Balm Dotcom, a supremely comfortable pair of classic-white tube socks with a G-logo and You Look Good reminder woven right in.",Materials: 82% Cotton / 15% Polyester / 3% Elastane,FALSE,TRUE,TRUE,3
3 Pink Pouches,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/3_pouch_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/3_pouch_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/3_pouch_3.jpg~,4/25/2016,12,"three 8.25"" x 7"" pouches","Packaging so popular we sell it separately.
Sized to hold an edited selection of only the stuff you need—keys, cards, cash, phone, and...Glossier. They’re easy to open, easy to spot, and the easiest way to keep you organized. Bonus: they’re quart-sized—good for holding liquid-y things in your carry-on. Lined with pink bubble wrap (comes in handy in high-stress situations).",Materials: 100% Polyethylene,FALSE,FALSE,TRUE,3
Logo G-Pin,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/g_pin_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/g_pin_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/g_pin_3.jpg~,4/25/2016,14,"0.56"" x 0.75""","We need to talk about your flair.
Introducing our gold-tone brass pin with official Glossier pink hard enamel fill. Our signature “G” logo was inspired by Gothic blackletter, updated and customized by our extra brilliant and super chic design team. Pin it on your sweater, lapel or anywhere else that could use some Glossier.",,FALSE,FALSE,TRUE,3
Terry Headband,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/terry_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/terry_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/terry_3.jpg~,4/25/2016,15,"7.75"" x 2.75"" unstretched","Official Glossier hair protection.
Crafted with 80% spa-quality looped terry cotton plus 20% of the most sensual stretch elastic nylon so it fits snug but comfy. Precision-stitched with our signature Glossier “G” in official Glossier pink—Pantone 705. Keeps hairs safe from excess moisture, masks, and face wash. Is cute.","Materials: 80% cotton, 15% elastic, and 5% nylon",FALSE,FALSE,TRUE,3
Visor,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/visor_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/visor_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/visor_3.jpg~,7/28/2016,,,Glossier Visor comes with every order over $30 through 7/5 at midnight EDT,,FALSE,TRUE,TRUE,3
